title,description,sector,status,contact,generated_title,kommune
Agder fylkeskommune," KI-prosjekt innenfor tannhelse, særlig OCR av røntgen og mer behovsdrevet innkallinger.",Helse & omsorg,"""Ser på muligheter for""",Ingen kontaktperson," KI-prosjekt innenfor tannhelse, særlig OCR av røntgen og mer behovsdrevet innkallinger",Agder
Agder fylkeskommune,Agderskolen - chatGPT modell etter randaberg i samarbeid med 15 kommuner,Oppvekst & utdanning,Ukjent status,Ingen kontaktperson,Agderskolen - chatGPT modell etter randaberg i samarbeid med 15 kommuner,Agder
Asker kommune,ChatGPT i Askerskolen basert på Randaberg,Oppvekst & utdanning,Ukjent status,Rune Glad - Rådgiver oppvekst - medlem av fag- og prioriteringsutvalget,ChatGPT i Askerskolen basert på Randaberg,Asker
Asker kommune,Bruk av generativ AI i kommuneplaner,Tverrsektoriell,Oppleves som et prosjekt i tidlig stadie ,Ingen kontaktperson,Bruk av generativ AI i kommuneplaner,Asker
Bergen kommune,"Kontroll av avløpsnettet ved hjelp av kunstig intelligens, maskinlæringsmodell for pumpestasjoner og renseanlegg","Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,"Kontroll av avløpsnettet ved hjelp av kunstig intelligens, maskinlæringsmodell for pumpestasjoner og renseanlegg",Bergen
Bergen kommune,Bruk av elektronisk ruteplanlegger med AI for hjemme-tjenesten,Helse & omsorg,Ukjent status,Ingen kontaktperson,Bruk av elektronisk ruteplanlegger med AI for hjemme-tjenesten,Bergen
Bergen kommune,1000 Bygg der man vurderer bruk av kunstig intelligens. Det undersøkes hvorvidt en samarbeidspartner til systemleverandøren GK kan bidra med trening av modell.,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,1000 Bygg der man vurderer bruk av kunstig intelligens,Bergen
Bergen kommune,Kokeanbefaling: Beregninger av konsekvenser ved brudd. Beregne trykk og beregne et polygon for berørte abonnementer basert på ledningsnett.,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Kokeanbefaling: Beregninger av konsekvenser ved brudd,Bergen
Bergen kommune,"Predikere brudd/lekkasjer: Bruker beskaffenheten av ledningsnett, kombinert med trykkdata(mengde) samt data fra Scada-system(driftssystem) for å kunne gjette svake punkter, og predikere lekkasjepunkter. (Neural network)","Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,"Predikere brudd/lekkasjer: Bruker beskaffenheten av ledningsnett, kombinert med trykkdata(mengde) samt data fra Scada-system(driftssystem) for å kunne gjette svake punkter, og predikere lekkasjepunkter",Bergen
Bergen kommune,Avløpsrens : Bruker AI for å planlegge serviceintervaller på pumper og annet mekanisk utstyr.,"Bygg, plan & teknisk",Ukjent status,Ingen kontaktperson,Avløpsrens : Bruker AI for å planlegge serviceintervaller på pumper og annet mekanisk utstyr,Bergen
