owner,title,sector,ownership,description,associations,link,status,model_development,address,city,country,region,project_start,project_end
Agder," KI-prosjekt innenfor tannhelse, særlig OCR av røntgen og mer behovsdrevet innkallinger",Helse & omsorg,Informasjon mangler," KI-prosjekt innenfor tannhelse, særlig OCR av røntgen og mer behovsdrevet innkallinger.",Informasjon mangler,Informasjon mangler,"""Ser på muligheter for""",Informasjon mangler,Informasjon mangler,Agder,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Agder,Agderskolen - chatGPT modell etter randaberg i samarbeid med 15 kommuner,Oppvekst & utdanning,Informasjon mangler,Agderskolen - chatGPT modell etter randaberg i samarbeid med 15 kommuner,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Agder,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Asker,ChatGPT i Askerskolen basert på Randaberg,Oppvekst & utdanning,Informasjon mangler,ChatGPT i Askerskolen basert på Randaberg,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Asker,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Asker,Bruk av generativ AI i kommuneplaner,Tverrsektoriell,Informasjon mangler,Bruk av generativ AI i kommuneplaner,Informasjon mangler,Informasjon mangler,Oppleves som et prosjekt i tidlig stadie ,Informasjon mangler,Informasjon mangler,Asker,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,"Kontroll av avløpsnettet ved hjelp av kunstig intelligens, maskinlæringsmodell for pumpestasjoner og renseanlegg","Bygg, plan & teknisk",Informasjon mangler,"Kontroll av avløpsnettet ved hjelp av kunstig intelligens, maskinlæringsmodell for pumpestasjoner og renseanlegg",Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,Bruk av elektronisk ruteplanlegger med AI for hjemme-tjenesten,Helse & omsorg,Informasjon mangler,Bruk av elektronisk ruteplanlegger med AI for hjemme-tjenesten,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,1000 Bygg der man vurderer bruk av kunstig intelligens,"Bygg, plan & teknisk",Informasjon mangler,1000 Bygg der man vurderer bruk av kunstig intelligens. Det undersøkes hvorvidt en samarbeidspartner til systemleverandøren GK kan bidra med trening av modell.,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,Kokeanbefaling: Beregninger av konsekvenser ved brudd,"Bygg, plan & teknisk",Informasjon mangler,Kokeanbefaling: Beregninger av konsekvenser ved brudd. Beregne trykk og beregne et polygon for berørte abonnementer basert på ledningsnett.,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,"Predikere brudd/lekkasjer: Bruker beskaffenheten av ledningsnett, kombinert med trykkdata(mengde) samt data fra Scada-system(driftssystem) for å kunne gjette svake punkter, og predikere lekkasjepunkter","Bygg, plan & teknisk",Informasjon mangler,"Predikere brudd/lekkasjer: Bruker beskaffenheten av ledningsnett, kombinert med trykkdata(mengde) samt data fra Scada-system(driftssystem) for å kunne gjette svake punkter, og predikere lekkasjepunkter. (Neural network)",Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
Bergen,Avløpsrens : Bruker AI for å planlegge serviceintervaller på pumper og annet mekanisk utstyr,"Bygg, plan & teknisk",Informasjon mangler,Avløpsrens : Bruker AI for å planlegge serviceintervaller på pumper og annet mekanisk utstyr.,Informasjon mangler,Informasjon mangler,Ukjent status,Informasjon mangler,Informasjon mangler,Bergen,NO,Informasjon mangler,Informasjon mangler,Informasjon mangler
